shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8__FS1____1_-_IT_1,40.4914406052426,-3.90095390693246,3000018,316.083567552589
8__FS1____1_-_IT_1,40.4914861520954,-3.90098651046513,3000019,316.295280537414
8__FS1____1_-_IT_1,40.4915194672909,-3.90102135053951,3000020,316.511725914264
8__FS1____1_-_IT_1,40.4915483398486,-3.90107772748143,3000021,316.733924689128
8__FS1____1_-_IT_1,40.4915606013575,-3.90114987944234,3000022,316.962388038417
8__FS1____1_-_IT_1,40.4915588497579,-3.90121784494525,3000023,317.196614783112
8__FS1____1_-_IT_1,40.4915449368761,-3.90127924979662,3000024,317.436269962351
8__FS1____1_-_IT_1,40.4915195393963,-3.90132530144656,3000025,317.680739827535
8__FS1____1_-_IT_1,40.4914795626615,-3.90136156108788,3000026,317.930607552335
8__FS1____1_-_IT_1,40.4914335614529,-3.90138734079545,3000027,318.186029533236
8__FS1____1_-_IT_1,40.4911776396772,-3.90155028862796,3000028,318.473039521816
8__FS1____1_-_IT_1,40.4909453125906,-3.90174154619747,3000029,318.790510469632
8__FS1____1_-_IT_1,40.4907509488834,-3.90191971266471,3000030,319.134316255216
8__FS1____1_-_IT_1,40.4906648957216,-3.90199134750554,3000031,319.48944063136
8__FS1____1_-_IT_1,40.4906214175609,-3.90200676347699,3000032,319.849565131251
8__FS1____1_-_IT_1,40.4905750230566,-3.90200454219434,3000033,320.214843215389
8__FS1____1_-_IT_1,40.4905409163917,-3.90199288751964,3000034,320.584034126766
8__FS1____1_-_IT_1,40.4904978792773,-3.90197453373333,3000035,320.958249344181
8__FS1____1_-_IT_1,40.4904668213013,-3.90194070450876,3000036,321.336948606994
8__FS1____1_-_IT_1,40.4904373196976,-3.90188671858029,3000037,321.721274538551
8__FS1____1_-_IT_1,40.4904243043514,-3.90183295459014,3000038,322.110380648581
8__FS1____1_-_IT_1,40.4904199257746,-3.90176810709896,3000039,322.505004164463
8__FS1____1_-_IT_1,40.490431932707,-3.901716276955,3000040,322.904218149125
8__FS1____1_-_IT_1,40.4904500148784,-3.90166852822623,3000041,323.307949397567
8__FS1____1_-_IT_1,40.4904883529307,-3.90160745136297,3000042,323.718381907937
8__FS1____1_-_IT_1,40.4905323364059,-3.90152725530394,3000043,324.137183102048
8__FS1____1_-_IT_1,40.4905411781551,-3.90148977957071,3000044,324.559308630227
8__FS1____1_-_IT_1,40.490539590148,-3.90145856445124,3000045,324.984085564043
8__FS1____1_-_IT_1,40.4905270917747,-3.90141680420097,3000046,325.412663980762
8__FS1____1_-_IT_1,40.4905036143919,-3.90137329819029,3000047,325.845757669106
8__FS1____1_-_IT_1,40.4902037204545,-3.90084503491636,3000048,326.334643269434
8__FS1____1_-_IT_1,40.4899622248835,-3.90045217925486,3000049,326.866275198348
8__FS1____1_-_IT_1,40.4898200710093,-3.90025148226634,3000050,327.42110928263
8__FS1____1_-_IT_1,40.4892434673545,-3.89963897706392,3000051,328.05835556662
8__FS1____1_-_IT_1,40.4889379833313,-3.89935305965511,3000052,328.737281278593
8__FS1____1_-_IT_1,40.4888455667482,-3.89928314352063,3000053,329.428054325544
8__FS1____1_-_IT_1,40.4887860800707,-3.89926986206492,3000054,330.125526098648
8__FS1____1_-_IT_1,40.4887619097948,-3.89927905922512,3000055,330.825791892374
8__FS1____1_-_IT_1,40.4887343721718,-3.89931439913489,3000056,331.530337379182
8__FS1____1_-_IT_1,40.4887104150243,-3.89934668237982,3000057,332.238698490129
8__FS1____1_-_IT_1,40.4886735893176,-3.89937772949287,3000058,332.951921216366
8__FS1____1_-_IT_1,40.4886120191505,-3.89939659722632,3000059,333.672163276425
8__FS1____1_-_IT_1,40.4885626315128,-3.89940228832488,3000060,334.397908915235
8__FS1____1_-_IT_1,40.4885143717587,-3.89938818797622,3000061,335.129143428882
8__FS1____1_-_IT_1,40.4884736106856,-3.89934530044715,3000062,335.866181927756
